country_origin,2020,2021
Burundi,408066,323149
Djibouti,1437,2480
Eritrea,457247,492465
Ethiopia,83958,145125
Kenya,7526,7533
Rwanda,286063,247974
Somalia,1012320,790022
South Sudan,1436707,2277919
Sudan,650391,805874
Uganda,6229,7840
Tanzania,579,710
