year,refugee_number
1991,16854762
1992,17838020
1993,16325299
1994,15753494
1995,14895916
1996,13356861
1997,12014967
1998,11480439
1999,11686760
2000,12129080
2001,12116301
2002,10593526
2003,9592279
2004,9572778
2005,8661294
2006,9877009
2007,11390156
2008,10488995
2009,10395780
2010,10548900
2011,10403951
2012,10497028
2013,11698238
2014,14384302
2015,16110280
2016,17184291
2017,19940568
2018,20359556
2019,20414675
2020,20661855
2021,20835367
