CountryOriginName,Year,Value
Burundi,2016,408066
Burundi,2021,323149
Djibouti,2016,1437
Djibouti,2021,2480
Eritrea,2016,457247
Eritrea,2021,492465
Ethiopia,2016,83958
Ethiopia,2021,145125
Kenya,2016,7526
Kenya,2021,7533
Rwanda,2016,286063
Rwanda,2021,247974
Somalia,2016,1012320
Somalia,2021,790022
South Sudan,2016,1436707
South Sudan,2021,2277919
Sudan,2016,650391
Sudan,2021,805874
Uganda,2016,6229
Uganda,2021,7840
United Republic of Tanzania,2016,579
United Republic of Tanzania,2021,710
