iso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MOZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15128.0,15128.0,0.0,180516.0,668038.0,744949.0,1028743.0,834304.0
NER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137337.0,121391.0,129015.0,156137.0,191902.0,298458.0,224016.0,376809.0,335277.0
NGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188018.0,2172532.0,2219272.0,1704080.0,2167925.0,2195779.0,2610278.0,3084916.0,3286881.0,3417936.0
NPL,0.0,0.0,0.0,0.0,100000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,0.0,0.0,0.0,0.0,0.0,0.0,155809.0,1894557.0,952035.0,452932.0,757996.0,747498.0,1375904.0,1146108.0,448956.0,174354.0,96384.0,100680.0,98898.0,98898.0,0.0,0.0
PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139509.0,159465.0,1159.0,117369.0,142430.0,63174.0,87418.0,311943.0,77651.0,178897.0,150368.0,105214.0,98094.0,95193.0
PNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,24000.0,90634.0,90634.0
RUS,371195.0,368220.0,334796.0,170544.0,158905.0,189274.0,91505.0,79950.0,75371.0,28450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,0.0,662302.0,841946.0,1325235.0,1250000.0,1201040.0,1034140.0,1624100.0,2422520.0,1873300.0,1873300.0,2192830.0,3218234.0,2225557.0,1997022.0,1864195.0,1885782.0,2552174.0,3036590.0,3552717.0,3020517.0
SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
SLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71500.0,71501.0,71500.0,71500.0,71500.0,71500.0,71500.0
SOM,0.0,0.0,0.0,400000.0,400000.0,1000000.0,1277200.0,1550000.0,1463780.0,1356845.0,1132963.0,1133000.0,1133000.0,1133000.0,1562554.0,2116705.0,2648001.0,2648000.0,2967500.0,2967500.0,2967500.0,3860099.0
SRB,261826.0,251833.0,248154.0,246391.0,227590.0,226350.0,225879.0,224881.0,228442.0,228215.0,227821.0,227495.0,223139.0,220002.0,219633.0,217453.0,215794.0,214696.0,213018.0,211823.0,210308.0,209796.0
SSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560161.0,345670.0,331097.0,1645392.0,1790427.0,1853924.0,1903953.0,1878154.0,1665815.0,1600254.0,2017236.0,1474679.0,1490064.0
SYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016500.0,6520800.0,7632500.0,6563462.0,6325978.0,6150005.0,6183920.0,6146994.0,6701972.0,6865308.0,6780994.0,6673353.0
TCD,0.0,0.0,0.0,0.0,112686.0,178918.0,166718.0,170531.0,131000.0,124000.0,90000.0,19791.0,0.0,51999.0,124342.0,99983.0,165314.0,170278.0,336124.0,406573.0,381289.0,381289.0
TGO,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLS,0.0,0.0,0.0,0.0,155231.0,62625.0,15860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,0.0,0.0,0.0,0.0,1586174.0,1235992.0,853000.0,446300.0,125598.0,29776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823000.0,1600000.0,1800000.0,1800000.0,1500002.0,734000.0,734000.0,854000.0,5914000.0,5088000.0
YEM,0.0,0.0,0.0,0.0,0.0,77000.0,100000.0,250000.0,220994.0,347295.0,385320.0,306614.0,334093.0,2532032.0,2025060.0,2014062.0,2144719.0,3625716.0,4002012.0,4288739.0,4523022.0,4523022.0
ZWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54278.0,57926.0,60139.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0
